# Data format string: '(6E12.4)'
# Data printout from CCMC-simulation: version 1.2
# Data type:  BATSRUS  magnetosphere
# Run name:   Yihua_Zheng_011116_1
# Missing data:          NaN
# Date, time:         2015           3          15  00:00:00
# Output data: field with 61x61=3721 elements
# x           y           z           N           V_x         B_x       
# R_E         R_E         R_E         cm^-3       km/s        nT        
 -2.2400E+02  0.0000E+00 -4.8000E+01  3.1009E+00 -3.0701E+02 -1.5674E+00
 -2.1973E+02  0.0000E+00 -4.8000E+01  3.1075E+00 -3.0634E+02 -1.2925E+00
 -2.1547E+02  0.0000E+00 -4.8000E+01  3.2119E+00 -3.0540E+02 -1.3340E+00
 -2.1120E+02  0.0000E+00 -4.8000E+01  3.3095E+00 -3.0453E+02 -1.3727E+00
 -2.0693E+02  0.0000E+00 -4.8000E+01  3.3771E+00 -3.0397E+02 -1.3988E+00
 -2.0267E+02  0.0000E+00 -4.8000E+01  3.4498E+00 -3.0340E+02 -1.4230E+00
 -1.9840E+02  0.0000E+00 -4.8000E+01  3.5336E+00 -3.0281E+02 -1.4432E+00
 -1.9413E+02  0.0000E+00 -4.8000E+01  3.6194E+00 -3.0225E+02 -1.4617E+00
 -1.8987E+02  0.0000E+00 -4.8000E+01  3.7076E+00 -3.0173E+02 -1.4778E+00
 -1.8560E+02  0.0000E+00 -4.8000E+01  3.8011E+00 -3.0124E+02 -1.4895E+00
 -1.8133E+02  0.0000E+00 -4.8000E+01  3.8984E+00 -3.0078E+02 -1.4977E+00
 -1.7707E+02  0.0000E+00 -4.8000E+01  4.0016E+00 -3.0036E+02 -1.5011E+00
 -1.7280E+02  0.0000E+00 -4.8000E+01  4.1074E+00 -2.9996E+02 -1.5023E+00
 -1.6853E+02  0.0000E+00 -4.8000E+01  4.2209E+00 -2.9966E+02 -1.4961E+00
 -1.6427E+02  0.0000E+00 -4.8000E+01  4.3362E+00 -2.9937E+02 -1.4882E+00
 -1.6000E+02  0.0000E+00 -4.8000E+01  4.4609E+00 -2.9917E+02 -1.4710E+00
 -1.5573E+02  0.0000E+00 -4.8000E+01  4.5869E+00 -2.9899E+02 -1.4524E+00
 -1.5147E+02  0.0000E+00 -4.8000E+01  4.7233E+00 -2.9891E+02 -1.4229E+00
 -1.4720E+02  0.0000E+00 -4.8000E+01  4.8620E+00 -2.9885E+02 -1.3898E+00
 -1.4293E+02  0.0000E+00 -4.8000E+01  5.0108E+00 -2.9887E+02 -1.3406E+00
 -1.3867E+02  0.0000E+00 -4.8000E+01  5.1642E+00 -2.9895E+02 -1.2885E+00
 -1.3440E+02  0.0000E+00 -4.8000E+01  5.3277E+00 -2.9915E+02 -1.2299E+00
 -1.3013E+02  0.0000E+00 -4.8000E+01  5.5002E+00 -2.9938E+02 -1.1676E+00
 -1.2587E+02  0.0000E+00 -4.8000E+01  5.6843E+00 -2.9961E+02 -1.1006E+00
 -1.2160E+02  0.0000E+00 -4.8000E+01  5.8860E+00 -2.9977E+02 -1.0325E+00
 -1.1733E+02  0.0000E+00 -4.8000E+01  6.1014E+00 -2.9987E+02 -9.6371E-01
 -1.1307E+02  0.0000E+00 -4.8000E+01  6.3461E+00 -2.9985E+02 -8.9973E-01
 -1.0880E+02  0.0000E+00 -4.8000E+01  6.6043E+00 -2.9977E+02 -8.3793E-01
 -1.0453E+02  0.0000E+00 -4.8000E+01  6.8998E+00 -2.9952E+02 -7.8920E-01
 -1.0027E+02  0.0000E+00 -4.8000E+01  7.2040E+00 -2.9923E+02 -7.4347E-01
 -9.6000E+01  0.0000E+00 -4.8000E+01  7.3655E+00 -2.9939E+02 -6.3575E-01
 -9.1733E+01  0.0000E+00 -4.8000E+01  7.7159E+00 -2.9886E+02 -5.9672E-01
 -8.7467E+01  0.0000E+00 -4.8000E+01  8.1916E+00 -2.9783E+02 -6.3205E-01
 -8.3200E+01  0.0000E+00 -4.8000E+01  8.7111E+00 -2.9675E+02 -6.7701E-01
 -7.8933E+01  0.0000E+00 -4.8000E+01  9.3276E+00 -2.9553E+02 -7.3024E-01
 -7.4667E+01  0.0000E+00 -4.8000E+01  1.0057E+01 -2.9418E+02 -7.9418E-01
 -7.0400E+01  0.0000E+00 -4.8000E+01  1.0924E+01 -2.9269E+02 -8.7116E-01
 -6.6133E+01  0.0000E+00 -4.8000E+01  1.1947E+01 -2.9103E+02 -9.6263E-01
 -6.1867E+01  0.0000E+00 -4.8000E+01  1.3020E+01 -2.8913E+02 -1.0564E+00
 -5.7600E+01  0.0000E+00 -4.8000E+01  1.4681E+01 -2.8724E+02 -1.1927E+00
 -5.3333E+01  0.0000E+00 -4.8000E+01  1.6824E+01 -2.8505E+02 -1.3563E+00
 -4.9067E+01  0.0000E+00 -4.8000E+01  1.9997E+01 -2.8194E+02 -1.5962E+00
 -4.4800E+01  0.0000E+00 -4.8000E+01  2.4461E+01 -2.7822E+02 -1.9249E+00
 -4.0533E+01  0.0000E+00 -4.8000E+01  2.8481E+01 -2.7606E+02 -2.1874E+00
 -3.6267E+01  0.0000E+00 -4.8000E+01  2.9859E+01 -2.7944E+02 -2.1282E+00
 -3.2000E+01  0.0000E+00 -4.8000E+01  2.5035E+01 -2.9381E+02 -1.3201E+00
 -2.7733E+01  0.0000E+00 -4.8000E+01  1.6488E+01 -3.1089E+02 -3.1260E-01
 -2.3467E+01  0.0000E+00 -4.8000E+01  1.3239E+01 -3.1631E+02 -1.1280E-02
