x,y,z,text,name,hash,number,path, rotX, rotY, rotZ,scale,opacity,colorR,colorG,colorB
-86365.73648,-494704.6078,229251.4566,text,Passeriformes,#,29001,Passeriformes.png,-1.92,0,0,0.6,0.2,1,1,0.623529
474467.8877,-86962.29219,-227026.0347,text,Accipitriformes,#,29002,Accipitriformes.png,-3.14,-2.261593,2.758407,1,0.2,0.576471,0.87451,0.721569
385418.5582,-301924.423,258261.7956,text,Coraciiformes,#,29003,Coraciiformes.png,1,1,1,0.5,0.3,0.764706,0.803922,0.901961
87461.21743,437398.6593,355716.6677,text,Charadriiformes,#,29004,Charadriiformes.png,-0.5,-0.23,0.02,1,0.2,0.788235,0.627451,0.862745
-249324.0231,461297.7253,144760.9064,text,Anseriformes,#,29005,Anseriformes.png,-1.28,-0.07,0.57,0.5,0.6,1,0.71,1
143958.1664,69898.87039,526391.452,text,Gruiformes,#,29009,Gruiformes.png,-3.141593,-2.511593,-2.901593,2,0.4,0.388235,0.717647,0.423529
260263.3849,-71295.18345,-458253.9864,text,Psittaciformes,#,29013,Psittaciformes.png,0.21,-0.07,1.84,0.7,0.6,0.792157,0.203922,0.207843
-39427.04536,-239015.271,507944.7051,text,Casuariiformes,#,29016,Casuariiformes.png,2.49,1,3.141593,0.5,0.4,0.482353,0.627451,0.356863
-191476.3227,427296.597,-282297.1559,text,Columbiformes,#,29019,Columbiformes.png,1,2.178407,-2.851593,1,0.3,0.964706,0.47,0.88
-300005.5041,332192.4175,349522.7485,text,Galliformes,#,29020,Galliformes.png,-2.391593,-2.171593,1.648407,0.5,0.1,1,0.9,0.61
278980.436,293838.3902,-351979.1222,text,Procellariiformes,#,29022,Procellariiformes.png,0.6,1.49,1.2,0.7,0.6,0.992157,0.054902,0.207843
374634.6926,-184547.7796,-332241.5512,text,Falconiformes,#,29023,Falconiformes.png,1.78,1,1.76,0.5,0.4,0.772549,0.882353,0.478431
519680.2227,173163.0784,15513.2623,text,Gaviiformes,#,29024,Gaviiformes.png,-1.44,1.57,-1.31,0.5,0.5,0.584314,0.878431,0.909804
468743.8092,-179330.432,232051.1636,text,Piciformes,#,29025,Piciformes.png,0.44,-2.13,-0.6,0.7,0.5,0.41,0.44,1
533915.4582,-99795.12416,-83849.45247,text,Strigiformes,#,29032,Strigiformes.png,1,1,1,0.5,0.3,0.788235,0.627451,0.862745
20306.94854,145534.4335,530881.9715,text,Struthioniformes,#,29033,Struthioniformes.png,0,0,0,0.7,0.2,1,0.65098,0.788235
