# A dummy dataset with an xyz position and some random data columns.
# The last two columns has data values with either missing values or
# Nan values (which can be handled seprately when color mapping)
x,y,z,a,b,normaldist_withMissing,number_withNan
13428000,26239000,45870000,-3.226548224,33.95773276,-0.357778948,29
14727000,45282000,10832000,45.05941924,-106.0395917,,29
24999000,28370000,19911000,-70.58906931,154.1851656,-0.167961782,Nan
26539000,36165000,39582000,-13.3663358,71.79484733,0.113536778,9
49056000,24775000,14626000,21.42870979,-115.6088304,0.125551095,37
43965000,21472000,18760000,65.07055022,-56.36880466,0.172981386,18
15661000,28429000,16965000,76.15826514,125.3163407,,40
25046000,36006000,49453000,-22.31710915,137.4486786,0.447921314,28
13797000,34811000,18825000,-79.40300933,74.05580595,-0.02379786,12
13879000,14824000,41472000,-30.93548431,-8.755047834,-0.041777813,50
11481000,20480000,25925000,75.51244012,178.1377926,-0.044396255,0
45032000,16606000,23537000,37.38766828,175.5064508,-0.449674816,13
14395000,34940000,21968000,-31.6863061,-116.6587323,-0.09741961,30
15945000,21478000,29536000,-53.01226701,59.18196347,0.304142338,30
13458000,19017000,18542000,8.72692265,80.65872957,,45
45302000,15732000,34369000,-85.57061714,124.6890481,-0.364449145,20
15559000,36269000,18160000,-4.975784243,-156.8789425,-0.012893853,22
16552000,14570000,39763000,-39.2579671,75.22960824,-0.281792015,Nan
11353000,13410000,38311000,8.610608538,-36.43103437,-0.196021206,9
12383000,49302000,33539000,69.26506588,-109.0830926,-0.147483079,34
44302000,21387000,23434000,16.14574541,78.81171702,0.115624185,5
43107000,14206000,24728000,37.57233254,142.6103028,,Nan
49320000,43878000,24240000,-39.10527498,149.2751575,-0.086246397,29
37519000,40514000,16409000,-24.14434437,157.2871976,-0.071946303,12
37202000,40122000,42551000,-79.88824934,-124.089513,0.375414362,31
12783000,11757000,25348000,-11.83866388,118.2423568,-0.243289139,Nan
39621000,30560000,15929000,75.8365484,-95.18288548,-0.399996182,37
10937000,15183000,21413000,-32.40573,-157.8337361,-0.202310776,39
39411000,12532000,44006000,34.67409469,-83.29512212,,Nan
47905000,25552000,28902000,36.19437814,52.25734185,,32
28426000,45268000,27886000,-70.843469,-63.7321218,0.112287307,45
15026000,45897000,23911000,-89.01161062,10.16376248,-0.00400866,Nan
24625000,14844000,12837000,88.91663258,169.8003753,-0.151728888,5
46304000,21144000,24421000,-41.58069299,59.63971512,-0.371030712,48
29558000,10724000,27312000,9.663492403,-71.18121738,0.344402457,Nan
49636000,27202000,24626000,59.46440387,-92.91431055,0.26256468,31
38603000,23794000,41040000,70.45128929,-67.84861911,-0.184920666,48
