# A test dataset for interpolation, where the xyz positions expand outward in each
# time step. There are 10 points per timestep, as illustrated by the time column.
# There are also two columns that may be used for color mapping:
#
# static_value has values that are the same for the correpsonding point in each
#              time step
# dynamic_value has values that change for every timestep. The change will be
#               reflected in the interpolation
#
time,x,y,z,dynamic_value,static_value
0.0,675.0297905065192,1672.6820684730765,-124.14442820502654,1,1
0.0,9.0852354697237,1080.363474597831,266.4506394528842,3,3
0.0,783.6498618493837,-332.90868790089644,166.73196289611994,5,5
0.0,163.88116606175208,-978.1393719572736,1260.016529398092,10,10
0.0,-934.1529593143864,-590.4853596059422,-622.5048517597389,11,11
0.0,77.99426967464474,-184.5196836590583,1835.5681393474856,13,13
0.0,77.99426967464474,-184.5196836590583,1835.5681393474856,14,14
0.0,-269.98667369858055,-559.2891044933908,-1487.2591171480176,15,15
0.0,-710.8143185498654,-627.4209210346181,-1504.56518583112,17,17
0.0,-710.8143185498654,-627.4209210346181,-1504.56518583112,18,18
1.0,1350.0595810130385,3345.364136946153,-248.28885641005309,2,1
1.0,18.1704709394474,2160.726949195662,532.9012789057684,6,3
1.0,1567.2997236987674,-665.8173758017929,333.4639257922399,10,5
1.0,327.76233212350417,-1956.2787439145472,2520.033058796184,20,10
1.0,-1868.3059186287728,-1180.9707192118844,-1245.0097035194779,22,11
1.0,155.98853934928948,-369.0393673181166,3671.136278694971,26,13
1.0,155.98853934928948,-369.0393673181166,3671.136278694971,28,14
1.0,-539.9733473971611,-1118.5782089867816,-2974.518234296035,30,15
1.0,-1421.628637099731,-1254.8418420692362,-3009.13037166224,34,17
1.0,-1421.628637099731,-1254.8418420692362,-3009.13037166224,36,18
2.0,2700.119162026077,6690.728273892306,-496.57771282010617,4,1
2.0,36.3409418788948,4321.453898391324,1065.8025578115369,12,3
2.0,3134.5994473975347,-1331.6347516035858,666.9278515844798,20,5
2.0,655.5246642470083,-3912.5574878290945,5040.066117592368,40,10
2.0,-3736.6118372575456,-2361.941438423769,-2490.0194070389557,44,11
2.0,311.97707869857896,-738.0787346362332,7342.272557389942,52,13
2.0,311.97707869857896,-738.0787346362332,7342.272557389942,56,14
2.0,-1079.9466947943222,-2237.1564179735633,-5949.03646859207,60,15
2.0,-2843.257274199462,-2509.6836841384725,-6018.26074332448,68,17
2.0,-2843.257274199462,-2509.6836841384725,-6018.26074332448,72,18
3.0,5400.238324052154,13381.456547784612,-993.1554256402123,8,1
3.0,72.6818837577896,8642.907796782649,2131.6051156230737,24,3
3.0,6269.1988947950695,-2663.2695032071715,1333.8557031689595,40,5
3.0,1311.0493284940167,-7825.114975658189,10080.132235184736,80,10
3.0,-7473.223674515091,-4723.882876847538,-4980.038814077911,88,11
3.0,623.9541573971579,-1476.1574692724664,14684.545114779885,104,13
3.0,623.9541573971579,-1476.1574692724664,14684.545114779885,112,14
3.0,-2159.8933895886444,-4474.312835947127,-11898.07293718414,120,15
3.0,-5686.514548398924,-5019.367368276945,-12036.52148664896,136,17
3.0,-5686.514548398924,-5019.367368276945,-12036.52148664896,144,18
4.0,10800.476648104308,26762.913095569224,-1986.3108512804247,16,1
4.0,145.3637675155792,17285.815593565298,4263.2102312461475,48,3
4.0,12538.397789590139,-5326.539006414343,2667.711406337919,80,5
4.0,2622.0986569880333,-15650.229951316378,20160.26447036947,160,10
4.0,-14946.447349030183,-9447.765753695076,-9960.077628155823,176,11
4.0,1247.9083147943159,-2952.314938544933,29369.09022955977,208,13
4.0,1247.9083147943159,-2952.314938544933,29369.09022955977,224,14
4.0,-4319.786779177289,-8948.625671894253,-23796.14587436828,240,15
4.0,-11373.029096797847,-10038.73473655389,-24073.04297329792,272,17
4.0,-11373.029096797847,-10038.73473655389,-24073.04297329792,288,18
5.0,21600.953296208616,53525.82619113845,-3972.6217025608494,32,1
5.0,290.7275350311584,34571.631187130595,8526.420462492295,96,3
5.0,25076.795579180278,-10653.078012828686,5335.422812675838,160,5
5.0,5244.197313976067,-31300.459902632756,40320.52894073894,320,10
5.0,-29892.894698060365,-18895.53150739015,-19920.155256311646,352,11
5.0,2495.8166295886317,-5904.629877089866,58738.18045911954,416,13
5.0,2495.8166295886317,-5904.629877089866,58738.18045911954,448,14
5.0,-8639.573558354577,-17897.251343788506,-47592.29174873656,480,15
5.0,-22746.058193595694,-20077.46947310778,-48146.08594659584,544,17
5.0,-22746.058193595694,-20077.46947310778,-48146.08594659584,576,18
