# A dummy dataset with an xyz position and velocity components (vx vy vz) plus some random
# data columns. The last two columns has data values with either missing values or Nan
# values (which can be handled seprately when color mapping).
x,y,z,vx,vy,vz,a,b,normaldist_withMissing,number_withNan
-13629320,-44412301,-24435893,-377.269505,-161.047656,282.848273,-96.934827,15.859936,,nan
10993567,30395576,-33872508,-2.150578,217.111173,-176.276536,-38.387900,145.607739,0.015114,22
-11965640,-24756532,33491914,274.018641,-441.733394,-288.230177,-73.860373,-121.613816,0.553838,nan
-48154729,14422097,39682195,205.613072,54.210892,-261.046197,-51.515045,8.601701,,16
3847194,-9192974,14131435,404.938029,461.242549,-155.475420,-57.034568,-47.560202,0.030235,2
26358516,-46490933,9460635,488.008816,-238.610262,167.925439,48.210229,117.808688,0.518420,35
-46383928,-22528229,-2645704,302.945894,237.253332,-111.347406,80.451815,-108.639158,0.161668,50
48454193,-10148388,25726270,-51.313363,108.337068,377.994249,-87.714546,156.565492,-0.073269,11
-39668552,5014741,-33497818,-65.238257,-375.129882,-78.491908,90.621912,34.278924,0.220928,10
21442279,-18783875,-24063275,-158.352198,-241.491358,-481.787437,81.565040,139.420461,,40
9992012,32062397,-24700645,460.721189,427.026458,-435.493553,49.648226,-11.607406,0.133192,19
10718321,25753435,46087887,-379.582726,51.582629,-333.356277,-97.515835,18.075138,0.168276,44
-43999841,46296537,-43648008,-116.544903,-372.192071,-414.720448,-47.826749,74.073383,,42
-37299245,-13466248,16310671,372.429786,91.778280,407.981495,79.602606,101.474341,0.023346,27
8651425,-6272678,26105693,372.062114,-401.082294,-317.945299,97.281674,-23.199711,0.166186,29
21331624,11969474,-22602480,97.403584,252.255786,214.092258,-5.938840,-36.983723,-0.242336,27
-21694458,17002285,-45738893,-201.877416,109.508039,-110.622068,37.694400,-6.029809,-0.029986,1
44957166,-10800449,43878788,255.045705,-171.649751,-440.802802,87.930828,-70.115507,-0.055510,45
-16078796,-43367443,-42483973,434.384944,-181.028358,-480.188612,-10.881273,-15.725400,-0.004561,35
44700175,26841491,-36054292,-464.990768,-51.558263,388.687176,12.839130,-156.512009,0.034157,35
12549188,38755214,-26057034,351.590399,253.204137,-128.446023,52.233422,100.487683,-0.044819,9
-48055880,35459735,-21358864,40.526219,-276.988044,19.642698,45.161816,-98.057038,-0.233701,34
25906570,-6074087,11649874,-404.666701,360.538620,-304.447011,-90.637184,-143.697826,0.286416,19
-43310473,96462,31591808,-160.322385,-254.970171,311.807911,41.540227,-133.432987,0.248737,18
-21783951,-8350670,-24771702,211.480899,-344.813695,-378.574734,58.212080,-96.153983,-0.172590,nan
24044927,36305870,-9851759,-178.364292,434.240680,104.125333,-62.466068,31.415423,0.066343,18
-28169862,31786720,16216169,-406.864623,-447.652367,-143.795338,-29.954901,-0.314786,-0.175795,45
-2766106,4018841,-28717775,56.051437,-405.303201,-40.498413,-98.790563,148.078193,,31
-13532253,37597062,10785244,284.765150,6.629769,345.947336,-72.014952,146.155433,0.084603,48
14434128,-28468296,26478152,185.828242,-72.204898,115.429363,-21.119092,-63.849638,-0.074802,40
33576819,-40668332,48411135,-153.448321,-157.392755,300.067556,86.580198,-38.573654,,41
48123252,-25527277,14036333,171.995794,-4.649830,-60.279673,81.504441,142.465996,-0.078034,30
-41322966,-36754031,-32054640,-490.433605,253.927137,-268.060033,64.707995,-141.434932,0.018012,32
14544115,-48237835,43908051,294.276866,172.735427,-357.113479,-44.983303,-167.808299,0.007312,25
-48619039,-520169,-26082584,-185.207519,373.679059,-253.831680,97.913642,-131.799221,0.240779,43
-40013258,-20023525,-9877244,234.668863,247.290327,159.315813,-80.446936,19.097648,-0.012481,nan
