Data about Constellations columns are: group, IAUabbreviation, name, x, y, z, scale, imageName, rotX, rotY, rotZ, centerStar, origins
northern,And,Andromeda,-32.8276,43.3946,-27.8475,1.4,And.png,-2.191593,-2.661593,-2.141593,HD6860,ancient
southern,Ant,Antlia,-0.2233,-103.8908,42.794,1.3,Ant.png,1.848407,0.198407,-3.141593,HD90610,modern
bird,Aps,Apus,31.637,-32.562,-16.5786,1.1,Aps.png,-1.691593,-2.281593,0.838407,HD149324,modern
zodiac,Aqr,Aquarius,86.509,149.4078,-155.8102,1.3,Aqr.png,-2.961593,-2.471593,-2.861593,-2.511593,ancient
bird,Aql,Aquila,11.7741,9.7467,-1.6418,1.2,Aql.png,-1.901593,-2.261593,2.758407,HD182640,ancient
southern,Ara,Ara,164.9273,-75.6246,-35.31,1.1,Ara.png,-1.381593,-2.131593,1.048407,HD157244,ancient
zodiac,Ari,Aries,-13.2892,9.4519,-11.9378,0.8,Ari.png,0.668407,0.538407,0.518407,Hamal,ancient
northern,Aur,Auriga,-12.3062,3.8595,1.0302,1.5,Aur.png,1.378407,1.108407,1.178407,HD34029,ancient
northern,Boo,Bootes,11.2468,14.9864,30.4945,2,Boo.png,-3.141593,-0.601593,-2.361593,HD135722,ancient
southern,Cae,Caelum,-6.0961,-13.7926,-13.3392,1,Cae.png,-0.661593,0.948407,0.418407,HD29875,modern
northern,Cam,Camelopardalis,-304.8155,179.062,71.1454,1.7,Cam.png,2.128407,1.228407,1.478407,HD31910,modern
zodiac,Cnc,Cancer,-30.9209,-16.4584,22.6601,1,Cnc.png,2.678407,1.058407,3.068407,HD74442,ancient
northern,CVn,Canes Venatici,-3.1198,5.7935,33.1368,1.3,CVn.png,0.148407,3.138407,0.428407,HD112413,modern
southern,CMa,Canis Major,-1.7693,-1.9125,-0.4074,1.3,CMa.png,1.128407,1.048407,1.878407,HD48915,ancient
northern,CMi,Canis Minor,-2.8348,-1.8906,0.7881,1.2,CMi.png,2.538407,1.138407,-3.141593,HD61421,ancient
zodiac,Cap,Capricornus,32.9799,20.0621,-29.3945,1.3,Cap.png,1.158407,-0.881593,-0.561593,HD200761,ancient
southern,Car,Carina Vela Puppis,14.1325,-188.6018,-42.2785,2,Car.png,1.788407,1.048407,-3.111593,HD71129,ancient
northern,Cas,Cassiopeia,-36.3073,59.4424,-7.6926,1.4,Cas.png,-1.711593,-2.881593,-2.631593,HD3712,ancient
southern,Cen,Centaurus,20.1398,-33.183,9.5915,2.7,Cen.png,-1.291593,3.088407,0.458407,HD110304,ancient
northern,Cep,Cepheus,-2.8178,14.4985,2.3848,1.7,Cep.png,-1.331593,-2.291593,-2.931593,HD203280,ancient
southern,Cet,Cetus,-28.796,7.2425,-73.6693,1.5,Cet.png,0.238407,0.368407,0.688407,HD11353,ancient
southern,Cha,Chameleon,53.5121,-108.3624,-38.1807,1.1,Cha.png,-1.801593,2.738407,0.448407,HD92305,modern
southern,Cir,Circinus,11.4255,-11.6937,-1.3129,1,Cir.png,1.448407,-0.391593,-2.211593,HD128898,modern
bird,Col,Columba,-11.2568,-20.5973,-11.9895,1,Col.png,2.258407,2.178407,-2.851593,HD39425,modern
northern,Com,Coma Berenices,1.9257,-1.2062,12.2465,1.4,Com.png,3.138407,-0.051593,-2.711593,HD114378,modern
southern,CrA,Corona Australis,146.1322,-4.7492,-53.7124,1,CrA.png,-3.141593,-2.021593,-3.141593,HD178345,ancient
northern,CrB,Corona Borealis,33.5737,32.0314,52.9729,1.3,CrB.png,-3.141593,-0.601593,-2.271593,HD143107,ancient
bird,Crv,Corvus,8.0442,-16.8858,19.3984,1.1,Crv.png,2.198407,-0.041593,-2.221593,HD108767,ancient
southern,Crt,Crater,1.5886,-43.9831,40.339,1.3,Crt.png,-0.521593,3.14,0.588407,HD98430,ancient
southern,Cru,Crux,49.3509,-85.0446,-0.6223,1.1,Cru.png,1.718407,0.048407,-2.741593,HD108248,modern
bird,Cyg,Cygnus,78.7445,375.244,12.4995,1.4,Cyg.png,1.668407,-0.931593,-0.261593,HD194093,ancient
northern,Del,Delphinus,14.8599,24.615,-8.055,1.2,Del.png,1.308407,-0.951593,-0.241593,HD196524,ancient
southern,Dor,Dorado,-0.646,-9.3172,-6.9654,1.2,Dor.png,2.118407,1.768407,-2.901593,HD33262,modern
northern,Dra,Draco,-1.434,20.6566,23.5098,1.9,Dra.png,0.658407,-2.541593,1.058407,HD137759,ancient
northern,Equ,Equuleus,27.7363,41.7071,-27.4371,1.2,Equ.png,-1.801593,-2.511593,2.558407,HD202447,ancient
southern,Eri,Eridanus,-37.5153,-23.5231,-65.6368,2.1,Eri.png,0.128407,0.698407,0.998407,HD20720,ancient
southern,For,Fornax,-14.0351,-17.8282,-46.5514,1.4,For.png,3.138407,2.678407,-2.351593,HD17652,modern
zodiac,Gem,Gemini,-362.5493,-102.2245,79.403,0.85,Gem.png,-0.731593,2.268407,-0.451593,Mekbuda,ancient
bird,Gru,Grus,18.6528,-3.2893,-24.6602,1.3,Gru.png,-3.141593,-2.511593,-2.901593,HD209952,modern
northern,Her,Hercules,14.0526,14.9773,12.5478,1.4,Her.png,-0.361593,-1.941593,1.358407,HD156164,ancient
