stk.v.10.0
BEGIN IntervalList
DateUnitAbrv yyyy/mm/dd
BEGIN Intervals

"2019/01/13 19:18:29.750" "2019/01/13 19:18:29.950"
"2019/01/13 19:18:41.750" "2019/01/13 19:18:41.950"
"2019/01/13 19:18:53.750" "2019/01/13 19:18:53.950"
"2019/01/13 19:19:05.750" "2019/01/13 19:19:05.950"
"2019/01/13 19:19:17.750" "2019/01/13 19:19:17.950"
"2019/01/13 19:19:29.750" "2019/01/13 19:19:29.950"
"2019/01/13 19:19:41.750" "2019/01/13 19:19:41.950"
"2019/01/13 19:19:53.750" "2019/01/13 19:19:53.950"
"2019/01/13 19:20:05.750" "2019/01/13 19:20:05.950"
"2019/01/13 19:20:17.750" "2019/01/13 19:20:17.950"
"2019/01/13 19:20:29.750" "2019/01/13 19:20:29.950"
"2019/01/13 19:20:41.750" "2019/01/13 19:20:41.950"
"2019/01/13 19:20:53.750" "2019/01/13 19:20:53.950"
"2019/01/13 19:21:05.750" "2019/01/13 19:21:05.950"
"2019/01/13 19:21:46.500" "2019/01/13 19:21:46.700"
"2019/01/13 19:21:58.500" "2019/01/13 19:21:58.700"
"2019/01/13 19:22:10.500" "2019/01/13 19:22:10.700"
"2019/01/13 19:22:22.500" "2019/01/13 19:22:22.700"
"2019/01/13 19:22:34.500" "2019/01/13 19:22:34.700"
"2019/01/13 19:22:46.500" "2019/01/13 19:22:46.700"
"2019/01/13 19:22:58.500" "2019/01/13 19:22:58.700"
"2019/01/13 19:23:10.500" "2019/01/13 19:23:10.700"
"2019/01/13 19:23:22.500" "2019/01/13 19:23:22.700"
"2019/01/13 19:23:34.500" "2019/01/13 19:23:34.700"
"2019/01/13 19:23:46.500" "2019/01/13 19:23:46.700"
"2019/01/13 19:23:58.500" "2019/01/13 19:23:58.700"
"2019/01/13 19:24:10.500" "2019/01/13 19:24:10.700"
"2019/01/13 19:24:22.500" "2019/01/13 19:24:22.700"
"2019/01/13 19:29:37.250" "2019/01/13 19:29:37.450"
"2019/01/13 19:29:49.250" "2019/01/13 19:29:49.450"
"2019/01/13 19:30:01.250" "2019/01/13 19:30:01.450"
