ra,dec,st_dist
185.179276,17.792868,93.37
229.274536,71.823898,125.72
352.822571,39.236198,75.59
242.601303,43.817646,17.94
295.466553,50.517525,21.15
314.608063,10.839286,76.38
242.376268,-21.083036,145
217.157547,49.844852,96.25
155.86821,-0.902244,72.21
155.86821,-0.902244,72.21
20.712243,-24.664049,36
34.842106,-39.422928,39.4
70.437073,23.030941,140
181.889447,-39.548332,64.42
294.635865,46.066418,400.77
325.122159,16.421759,25
339.102203,47.86182,74
39.240585,24.648064,44.71
130.053406,64.327934,73.58
276.496399,65.563484,90.86
164.866562,40.430256,13.8
164.866562,40.430256,13.8
164.866562,40.430256,13.8
69.400551,-2.473548,29.4
344.366577,20.768833,15.47
133.149216,28.330818,12.59
133.149216,28.330818,12.59
133.149216,28.330818,12.59
133.149216,28.330818,12.59
133.149216,28.330818,12.59
97.696281,58.162632,54.74
199.601318,-18.311195,8.51
199.601318,-18.311195,8.51
199.601318,-18.311195,8.51
99.17099,-19.255878,19.82
99.17099,-19.255878,19.82
202.107544,13.778788,17.91
38.039253,-1.034896,83.15
224.201477,74.900925,163.32
39.424168,-3.396175,101.53
348.9729,-9.087737,44.08
94.803802,-58.05431,50.12
177.564804,2.760142,2618
318.399963,14.689387,49.42
176.482174,14.616381,774
240.095566,15.54693,431.61
154.18691,19.891409,1670.85
154.18691,19.891409,1670.85
25.920324,21.005314,1383.85
53.650967,20.599232,180.39
40.710224,49.58696,892.17
40.742569,48.930061,678.94
45.640529,49.730011,447.59
88.251183,-5.994844,20.28
88.251183,-5.994844,20.28
150.198837,-9.51668,41.38
150.198837,-9.51668,41.38
164.620003,-10.770376,84.61
278.370148,-11.636039,27.3
114.288458,-13.906639,948.75
7.142942,-16.226345,34.49
224.620833,10.228611,23.1
166.619893,-77.625877,191.05
68.466728,22.841696,158
166.037877,-76.455383,165
102.079885,-3.102147,805.31
291.063708,0.746143,345
280.687263,5.937688,560
100.765677,-1.296439,1150
102.721137,-5.086445,1060
103.424211,-5.536037,1340
278.524691,-6.002595,840
278.699254,-6.612234,920
98.17241,-0.031586,870
97.033582,-0.170681,770
291.777056,1.383714,200
97.720408,0.226919,864.31
97.720408,0.226919,864.31
101.05245,-0.29913,1398.83
280.667115,6.219136,592
279.782615,4.357806,600
101.922547,-3.719301,600
101.922547,-3.719301,600
280.629662,6.513829,1000
279.750514,6.969787,1670
278.495813,5.538462,1035.15
278.688338,5.57373,560
278.902103,6.479651,765
292.055263,0.12182,680
102.194663,-0.672774,741.6
101.277254,0.815239,904.65
281.072525,6.663194,657.24
100.956125,-1.063033,160.64
100.956125,-1.063033,160.64
291.588518,1.426452,380
280.786712,6.204172,417.89
100.195183,9.257431,586.2
201.721958,45.546303,30.55
125.76305,-49.200359,20.77
67.423158,26.54952,140
86.776115,-10.630232,62
86.776115,-10.630232,62
86.776115,-10.630232,62
86.776115,-10.630232,62
27.407873,-34.459129,134
91.624382,-72.512665,48.9
169.316667,17.961417,305.06
354.91449,-69.195747,44.12
179.705933,-3.389389,159.98
168.936646,0.488114,254.88
185.188293,2.282436,481
